# ePrasekolah "Carian Institusi" export, Kota Setar, pasted by the user (logged-in parent account) on 2026-09-21.
# columns: code|name|address|postcode|town|phone|vacancies   (all rows: Agensi Pelaksana = SWASTA; "-" vacancies = none listed)
K5A2010|TADIKA ABYAD|9, TAMAN PANDAN, LEBUHRAYA SULTANAH BAHIYAH|05350|ALOR SETAR|010-4284272|-
K5A2117|TADIKA ABYAD (C)|14 TAMAN PANDAN, LEBUHRAYA SULTANAH BAHIYAH|05350|ALOR SETAR|017-4736607|25
K5A2639|TADIKA AKADEMIK BESTARI|NO. 1, SUSURAN BARAT, TAMAN DESA IMPIANA, MERGONG|05150|ALOR SETAR|012-4666988|25
K5A2013|TADIKA AKTIF BESTARI|KM 4.5 JALAN DATUK KUMBAR|05300|ALOR SETAR|017-4678553|-
K5A2863|TADIKA AKTIF BESTARI (C)|NO.5, KM.4.5, JALAN DATUK KUMBAR, ALOR SETAR|05300|ALOR SETAR|047315046|25
K5A2774|TADIKA AL FALAH THOYYIBAH|NO.A20, JALAN SEMARAK 3, TAMAN BANDAR BARU, POKOK SENA, ALOR SETAR|06400|ALOR SETAR|019-4245447|-
K5A2711|TADIKA AL IMAN (ABIM)|NO. 1, TAMAN BERLIAN, ANAK BUKIT|06650|ALOR SETAR|017-5397175|50
K5A2900|TADIKA AL IMAN (C) ABIM|N0.84A, BATU 4 3/4, JALAN HUTAN KAMPUNG|05350|ALOR SETAR|0195070724|-
K5B2844|TADIKA AL-AYUBBI|LOT.613, PREMIS TANAH WAKAF, MAIK, KM.7, JALAN LANGGAR, ALOR SETAR KEDAH.|05460|ALOR SETAR|0135397956|32
K5A2005|TADIKA AL-FATHONAH|1944-B LORONG SERAI, TAMAN JAYAKAMI, JALAN STADIUM|05100|ALOR SETAR|019-5549669|51
K5A2648|TADIKA AL-HIDAYAH CERIA BESTARI|NO. 11 JALAN KUDA 2/2, TAMAN LAMAN KUDA, ANAK BUKIT|06650|ALOR SETAR|012-5491170|29
K5B3726|TADIKA ALAF PINTAR|NO.59, JALAN KURUNG 3,TAMAN BANDAR BARU MERGONG,LEBUHRAYA SULTANAH BAHIYAH|05150|ALOR SETAR|047308633|-
K5A2003|TADIKA AN NAJAAH|1693A JALAN TELOK WANJAH|05200|ALOR SETAR|04-7321731|-
K5A2133|TADIKA AN NAJAAH (C)|NO.203, JALAN LANGGAR, 05460 ALOR SETAR, KEDAH|05460|ALOR SETAR|04-7321731|-
K5A2017|TADIKA AN NUR SURIA BESTARI|NO. 259, BT 3 TANDOP|05400|ALOR SETAR|0108104318|-
K5A2896|TADIKA AN NUR SURIA BESTARI (CAWANGAN TAMAN RASA SAYANG)|NO.18 TAMAN RASA SAYANG, BATU 3 TANDOP|05400|ALOR SETAR|010-8104318|-
K5A2123|TADIKA AN NUR SURIA BESTARI(CAWANGAN)|LOT 647, KM5 JALAN SUNGAI PETANI, 05400 ALOR SETAR, KEDAH.|05400|ALOR SETAR|0108104318|86
K5A2786|TADIKA ANAKKU BIJAK CERIA|NO.474, LORONG PUTIH 1/1, TAMAN RAKYAT MERGONG, ALOR SETAR.|05150|ALOR SETAR|019-4526693|-
K5A2871|TADIKA ANAKKU WIDAD|LOT 1, 2 & 3 TAMAN SOFIAH, JALAN KUALA KEDAH|05400|ALOR SETAR|0194136141|35
K5B2024|TADIKA ANGGERIK SEJATI|170 TAMAN ANGGERIK 2 JALAN KUALA KEDAH 06600 ALOR SETAR KEDAH|06600|ALOR SETAR|01121436578|-
K5A2132|TADIKA ANNUR|2915-C, LORONG UDA 1, TAMAN UDA, 05350 ALOR SETAR, KEDAH|05350|ALOR SETAR|0192301610|40
K5B2105|TADIKA ANNUR MUSAR|NO. 1416, TAMAN SULTAN BADLISHAH, JALAN PEGAWAI|05050|ALOR SETAR|0194423937|-
K5A2125|TADIKA AR RAYYAN EDUKIDS|NO. 12 B, SUSURAN KUBANG ROTAN PERDANA, TAMAN KUBANG ROTAN|06250|ALOR SETAR|0135801652|68
K5A2143|TADIKA ARRAYYAN JUNIOR|NO.13 TINGKAT 1 PLAZA MENTALOON, SUSURAN MENTALOON, ALOR SETAR, KEDAH|06550|ALOR SETAR|013-5801652|69
K5A2020|TADIKA ASAS PINTAR|NO. 5 & 6 TAMAN PANDAN, LEBUHRAYA SULTANAH BAHIYAH|05350|ALOR SETAR|014-2443018|-
K5A2832|TADIKA ASAS PINTAR BESTARI|NO.29, TAMAN DERGA PERDANA, JALAN DERGA PERDANA 2, JALAN DATUK KUMBAR, ALOR SETAR, KEDAH.|05300|ALOR SETAR|017-4380566|39
K5A2708|TADIKA ASSYAKIRIN (ABIM)|NO.246 TAMAN MERGONG JAYA FASA 1,JALAN PUTRA|06250|ALOR SETAR|019-4154445|-
K5A2707|TADIKA AULAD BISTARI (ABIM)|NO. 84, JALAN ANDALAS 5, TAMAN HIDAYAH FASA 3, JALAN HUTAN KAMPUNG|05350|ALOR SETAR|0127153190|-
K5A2927|TADIKA AULAD ELIT|NO.2 , TAMAN SERI BELIDA, JALAN SUKA MENANTI|05150|ALOR SETAR|01245662016|42
K5A2110|TADIKA AULAD ELIT (C)|NO.274 TAMAN SERI PUYU FASA 3, JALAN SUKA MENANTI, 05150 ALOR SETAR, KEDAH|05150|ALOR SETAR|012-4662016|254
K5A2120|TADIKA AULAD ELIT (INTEGRASI)|NO.274, TAMAN SERI PUYU FASA 3 JALAN SUKA MENANTI|05150|ALOR SETAR|012-4577656|14
K5A2856|TADIKA AULAD ILHAM|NO.10 LORONG SEPAKAT, BATU 2 1/4, JALAN DATUK KUMBAR|05300|ALOR SETAR|0195057551|-
